,FEATURE_NAME,IMPORTANCE
132,BURO_CREDIT_TYPE_Mortgage_MEAN,73
133,BURO_CREDIT_TYPE_Real estate loan_MEAN,0
134,BURO_CREDIT_TYPE_Unknown type of loan_MEAN,0
135,ACTIVE_DAYS_CREDIT_MIN,25
136,ACTIVE_DAYS_CREDIT_MAX,109
137,ACTIVE_DAYS_CREDIT_VAR,39
138,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,109
139,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,63
140,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,100
141,ACTIVE_DAYS_CREDIT_UPDATE_MEAN,88
142,ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,43
143,ACTIVE_AMT_CREDIT_SUM_MAX,94
144,ACTIVE_AMT_CREDIT_SUM_MEAN,38
145,ACTIVE_AMT_CREDIT_SUM_SUM,90
146,ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,94
147,ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,19
148,ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,76
149,ACTIVE_AMT_ANNUITY_MEAN,36
150,ACTIVE_CNT_CREDIT_PROLONG_SUM,12
151,ACTIVE_MONTHS_BALANCE_MIN_MIN,25
152,ACTIVE_MONTHS_BALANCE_MAX_MAX,6
153,ACTIVE_MONTHS_BALANCE_SIZE_MEAN,30
154,ACTIVE_MONTHS_BALANCE_SIZE_SUM,56
155,CLOSED_DAYS_CREDIT_MAX,90
156,CLOSED_DAYS_CREDIT_MEAN,62
157,CLOSED_DAYS_CREDIT_VAR,32
158,CLOSED_DAYS_CREDIT_ENDDATE_MIN,32
159,CLOSED_DAYS_CREDIT_ENDDATE_MAX,54
160,CLOSED_DAYS_CREDIT_ENDDATE_MEAN,34
161,CLOSED_CREDIT_DAY_OVERDUE_MAX,0
162,CLOSED_AMT_CREDIT_SUM_MEAN,104
163,CLOSED_AMT_CREDIT_SUM_SUM,57
164,CLOSED_AMT_CREDIT_SUM_DEBT_MAX,29
165,CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,34
166,CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,9
